Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Home.Blog.Common\Home.Blog.Common.csproj,File,src\Home.Blog.Common\Home.Blog.Common.csproj,,,Microsoft.Extensions.Configuration 8.0.0,,,,,"Microsoft.Extensions.Configuration, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.11"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Home.Blog.Common\Home.Blog.Common.csproj,File,src\Home.Blog.Common\Home.Blog.Common.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Home.Blog.Common\Home.Blog.Common.csproj,File,src\Home.Blog.Common\Extensions\IConfigurationBuilderExtensions.cs,59,20,"M:System.Environment.SetEnvironmentVariable(System.String,System.String)",,,,,"Environment.SetEnvironmentVariable(name, propertyValue);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Home.Blog.Common\Home.Blog.Common.csproj,File,src\Home.Blog.Common\Extensions\IConfigurationBuilderExtensions.cs,32,8,T:System.Text.Json.JsonDocument,,,,,using (var document = JsonDocument.Parse(json))         {             document.RootElement.EnumerateJsonAndSetEnvironmentVariables();         }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Home.Blog.Common\Home.Blog.Common.csproj,File,src\Home.Blog.Common\Extensions\IConfigurationBuilderExtensions.cs,32,8,T:System.Text.Json.JsonDocument,,,,,using (var document = JsonDocument.Parse(json))         {             document.RootElement.EnumerateJsonAndSetEnvironmentVariables();         }
NuGet.0005,NuGet package is deprecated,Active,Optional,1,tests\Home.Blog.Common.Tests\Home.Blog.Common.Tests.csproj,File,tests\Home.Blog.Common.Tests\Home.Blog.Common.Tests.csproj,,,xunit 2.5.3,,,,,"xunit, 2.5.3  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\Home.Blog.Common.Tests\Home.Blog.Common.Tests.csproj,File,tests\Home.Blog.Common.Tests\Home.Blog.Common.Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Home.Blog.Core\Home.Blog.Core.csproj,File,src\Home.Blog.Core\Home.Blog.Core.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,tests\Home.Blog.Core.Tests\Home.Blog.Core.Tests.csproj,File,tests\Home.Blog.Core.Tests\Home.Blog.Core.Tests.csproj,,,xunit 2.5.3,,,,,"xunit, 2.5.3  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\Home.Blog.Core.Tests\Home.Blog.Core.Tests.csproj,File,tests\Home.Blog.Core.Tests\Home.Blog.Core.Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Home.Blog.Data\Home.Blog.Data.csproj,File,src\Home.Blog.Data\Home.Blog.Data.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,tests\Home.Blog.Data.Tests\Home.Blog.Data.Tests.csproj,File,tests\Home.Blog.Data.Tests\Home.Blog.Data.Tests.csproj,,,xunit 2.9.3,,,,,"xunit, 2.9.3  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\Home.Blog.Data.Tests\Home.Blog.Data.Tests.csproj,File,tests\Home.Blog.Data.Tests\Home.Blog.Data.Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Home.Blog.Mvc\Home.Blog.Mvc.csproj,File,src\Home.Blog.Mvc\Home.Blog.Mvc.csproj,,,Microsoft.Extensions.Caching.Memory 8.0.1,,,,,"Microsoft.Extensions.Caching.Memory, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.11"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,src\Home.Blog.Mvc\Home.Blog.Mvc.csproj,File,src\Home.Blog.Mvc\Home.Blog.Mvc.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.19.6,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.19.6  Recommendation:  No supported version found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Home.Blog.Mvc\Home.Blog.Mvc.csproj,File,src\Home.Blog.Mvc\Home.Blog.Mvc.csproj,,,System.Formats.Asn1 6.0.1,,,,,"System.Formats.Asn1, 6.0.1  Recommendation:  Remove System.Formats.Asn1, and replace with new package System.Formats.Asn1 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Home.Blog.Mvc\Home.Blog.Mvc.csproj,File,src\Home.Blog.Mvc\Home.Blog.Mvc.csproj,,,System.Text.Json 8.0.5,,,,,"System.Text.Json, 8.0.5  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.11"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\Home.Blog.Mvc\Home.Blog.Mvc.csproj,File,src\Home.Blog.Mvc\Home.Blog.Mvc.csproj,,,Azure.Identity 1.11.4,,,,,"Azure.Identity, 1.11.4  Recommendation:  This version takes a dependency on a deprecated version of MSAL .NET (Microsoft.Identity.Client). Remove Azure.Identity, and replace with new package Azure.Identity, 1.21.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\Home.Blog.Mvc\Home.Blog.Mvc.csproj,File,src\Home.Blog.Mvc\Home.Blog.Mvc.csproj,,,System.IdentityModel.Tokens.Jwt 6.34.0,,,,,"System.IdentityModel.Tokens.Jwt, 6.34.0  Recommendation:  Move to latest https://aka.ms/IdentityModel/LTS Remove System.IdentityModel.Tokens.Jwt, and replace with new package System.IdentityModel.Tokens.Jwt, 8.22.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Home.Blog.Mvc\Home.Blog.Mvc.csproj,File,src\Home.Blog.Mvc\Home.Blog.Mvc.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
